id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1266039054497394689,Thu May 28 16:10:07 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PSBB untuk wilayah Bodebek (Kabupaten Bogor, Kota Bogor, Kota Depok, Kabupaten Bekasi, dan Kota Bekasi) direncanakan akan diperpanjang sampai dengan 4 Juni 2020.⁣
⁣
#infodepok #kotadepok #psbbdepok #cegahcorona #jawabarat #bogor #bekasi #depok https://t.co/vNLlCrpGYM https://t.co/LCkREokYQp",psbb wilayah bodebek kabupaten bogor kota bogor kota depok kabupaten bekasi kota bekasi direncanakan diperpanjang,in,0,0,infodepok_id,False,"infodepok, kotadepok, psbbdepok, cegahcorona, jawabarat, bogor, bekasi, depok",,"Depok, Jawa Barat",
1266039050281947136,Thu May 28 16:10:06 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @detikcom: Menjelang era new normal pada 1 Juni 2020 di Jawa Barat (Jabar), terbit Surat Keputusan Gubernur Jabar Ridwan Kamil yang memp…",menjelang era new normal jawa barat jabar terbit surat keputusan gubernur jabar ridwan kamil memp,in,0,58,anakhaci,,,detikcom,"Bogor, Indonesia",
1266039049472655361,Thu May 28 16:10:05 +0000 2020,"<a href=""https://www.twitter.com"" rel=""nofollow"">COVID19_bot_</a>","Evolution of cases in Indonesia, Sri Lanka, Thailand, since 100th confirmed case. https://t.co/3Ol03J4zWz",evolution of cases in indonesia sri lanka thailand since th confirmed case,en,0,0,COVID19_bot,False,,,,
1266039033940987906,Thu May 28 16:10:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @CNNIndonesia: Sumatera Barat Kembali Perpanjang PSBB Sampai 7 Juni https://t.co/dMNjJkN0wp,sumatera barat perpanjang psbb,in,0,8,HARRYXSANTANA,False,,CNNIndonesia,,
1266039023321022464,Thu May 28 16:09:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @infoSumbar: Gubernur meminta seluruh Pemimpin Kabupaten/Kota segera menyiapkan “New Normal” selama PSBB tahap III. “New Normal” di Sumb…,gubernur pemimpin kabupaten kota menyiapkan new normal psbb tahap iii new normal sumb,in,0,902,vivianggrianiii,,,infoSumbar,Indonesia,
1266039011576958978,Thu May 28 16:09:56 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Ifkubilzz @Sunnysideuupppp @ErhanAftizar Katanya ada. Kemaren syutingnya berenti gara2 psbb, jadi agak gantung",katanya syutingnya berenti gara psbb agak gantung,in,0,101,burcangte,,,"Ifkubilzz, Sunnysideuupppp, ErhanAftizar",mars,
1266038975023640576,Thu May 28 16:09:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,902,esskiko,False,,Praz_Teguh,"ÜT: -6.22123,106.5569",
1266038969650647040,Thu May 28 16:09:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@veliscias @Asknonym Positive aja hyung, rumah dia di hutan :"") gaada psbb kan disana :"")",positive hyung rumah hutan tidak ada uang psbb kan disana,in,0,0,cantiqaaaaaaaaa,,,"veliscias, Asknonym",Indonesia,
1266038960993693696,Thu May 28 16:09:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @detikcom: Satpol PP Tangsel mengamankan 'manusia silver' yang mengemis di masa pembatasan sosial berskala besar (PSBB). Ada yang kabur…,satpol pulang pergi tangsel mengamankan manusia silver mengemis pembatasan sosial berskala psbb kabur,in,0,1,BenediktusNugro,,,detikcom,"Jakarta Selatan, DKI Jakarta",
1266038951128653824,Thu May 28 16:09:42 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AridaWijayanti Lagi PSbb hihihi,psbb hihihi,in,0,902,hsantoryu,,,AridaWijayanti,botol,
