id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265136737996533760,Tue May 26 04:24:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ngomongin herd immunity aja gagal paham udah ngomongin new normal

Itu aja ga mikirin pengadaan proteksi dr mereka sendiri untuk warga, cuman bisa ngasih protokol nyenyenye

Oh g usah jauh jauh, PSBB aja belum keliatan hasilnya",membicarakan herd immunity gagal paham membicarakan new normal ga mikirin pengadaan proteksi dr warga cuman protokol nyenyenye g psbb hasilnya,in,0,0,Adikaputraaa_,,,,Indonesia,
1265136737132490754,Tue May 26 04:24:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @preciouscygnet: INDONESIA terlalu MENYEPELEKAN kasus COVID19 pada ANAK!

Situasi Indonesia beda dengan negara lain yang nihil kasus ana…",indonesia menyepelekan kasus covid19 anak situasi indonesia beda negara nihil kasus ana,in,0,3430,ussidausii,,,preciouscygnet,,
1265136727305289729,Tue May 26 04:24:35 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,2,mint91_,,,ObiWan_Catnobi,"Jakarta, Indonesia",
1265136721462571008,Tue May 26 04:24:34 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MochatmaW: Diskusi kebangkitan PKI ricuh.
Sekarang PKI itu bebas mau bikin kegiatan apapun pasti dilindungi.

Perhatikan tidak mematuhi…",diskusi kebangkitan pki ricuh pki bebas bikin apapun dilindungi perhatikan tidak mematuhi,in,0,143,idasachna2gmai2,,,MochatmaW,,
1265136715196297216,Tue May 26 04:24:32 +0000 2020,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Polisi Tahan 13 Penganiaya Tim Gugus Tugas PSBB di Buol https://t.co/WHFB2GHiv4 https://t.co/3ZUbCH6k1T,polisi tahan penganiaya tim gugus tugas psbb buol,in,0,500,SultengTerkini,False,,,"Kota Palu, Sulawesi Tengah",
1265136710335074305,Tue May 26 04:24:31 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @kebijakananies: Menkes Terawan Terbitkan Aturan Kembali Bekerja, Anies Akan Perpanjang PSBB Singgung Kerja Keras

Seperti diketahui, hi…",menkes terawan terbitkan aturan anies perpanjang psbb singgung kerja keras hai,in,0,4,Bamshar_02,,,kebijakananies,Indonesia Raya,
1265136694979817473,Tue May 26 04:24:27 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,500,nuraminkadir,,,ObiWan_Catnobi,,
1265136682723995648,Tue May 26 04:24:24 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @GerryS: 1/22: Di tengah wabah #COVID19, jumlah penerbangan sudah turun 80% - 90% di Indonesia dan 65% di Asia Pasifik. Apa kabarnya bua…",/22 wabah penerbangan turun indonesia asia pasifik kabarnya bua,in,0,1244,Smileblackjoke1,,COVID19,GerryS,,
1265136677829226497,Tue May 26 04:24:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NataliusPigai2: https://t.co/ljwKSAMOPV Apa otak Sy tdk jangkau  memahami arti PSBB?. Presiden hrs jadi panutan dan mampu membangun per…,otak tidak jangkau memahami arti psbb presiden panutan membangun,in,0,0,SyahrizalIwan,False,,NataliusPigai2,"Medan Kota, Indonesia",
1265136666777284609,Tue May 26 04:24:21 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @RossTapsell: Indonesia reminds other countries not to 'politicize' Covid19 issues; has 'no energy to get dragged into a drama with Chin…,indonesia reminds other countries not to 'politicize covid19 issues has 'no energy to get dragged into a drama with chin,en,0,6,indrabustami,,,RossTapsell,,
1265136660439683072,Tue May 26 04:24:19 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JeanAprilia96: 1 bulan Social Distancing
2 Bulan PSBB

3 bulan..hasilnya:
Naik Puluhan ribu kasus.
Puluhan tenaga medis meninggal
Serib…",social distancing psbb .. hasilnya puluhan kasus puluhan tenaga medis meninggal serib,in,0,500,s_zharifah,,,JeanAprilia96,"Semarang ,Jawa Tengah",
1265136649899474945,Tue May 26 04:24:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jcowacko: Sebaiknya pelaku usaha dan pemerintah memberikan hak pada karyawannya/warganya untuk memilih, kembali beraktifitas keluar ata…",pelaku usaha pemerintah hak karyawannya/warganya memilih beraktifitas keluar ata,in,0,316,jnutricia,,,jcowacko,"DKI Jakarta, Indonesia",
1265136646984306689,Tue May 26 04:24:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dirgarambe: Indonesia telah memilih jalannya.

Lihat kondisi hari ini. Masyarakat cenderung abai. Pemerintah ingin segera ekonomi pulih…",indonesia memilih jalannya lihat masyarakat cenderung abai pemerintah ekonomi pulih,in,0,16461,TikaOfficial,,,dirgarambe,"Tangerang,Banten,Indonesia",
1265136642521612289,Tue May 26 04:24:15 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PSBB ( PERNAH SAYANG BELUM BERJODOH ),psbb sayang berjodoh,in,0,27,rezafafifu,,,,"Batang, Jawa tengah",
1265136639203962880,Tue May 26 04:24:14 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CommuterLine: #RekanCommuters, Mulai Selasa 26 Mei 2020, KRL akan kembali melayani pengguna sesuai jam operasional selama masa PSBB ini…",mei krl melayani pengguna jam operasional psbb,in,0,42,Dhea_Octavia1,,RekanCommuters,CommuterLine,Indonesia,
1265136621747200002,Tue May 26 04:24:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@detikHealth Indonesia blm ada laporan penurunan kasus, justru tambahan tiap harix. Sdh melonggarkan lock down dan meniadakan PSBB",indonesia laporan penurunan kasus tambahan harix sdh melonggarkan lock down meniadakan psbb,in,0,0,AyhuFandhy,,,detikHealth,,
1265136611164958721,Tue May 26 04:24:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jkt psbb lagi?yaudalaya bekasi kena imbas,jakarta psbb yaudalaya bekasi kena imbas,in,0,0,kecoangapungg,,,,"Bekasi, Jawa Barat","[[106.956558, -6.26807], [107.019722, -6.26807], [107.019722, -6.203595], [106.956558, -6.203595]]"
1265136607486545920,Tue May 26 04:24:06 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ObiWan_Catnobi: Jadi PSBB se-Indonesia raya dicabut mulai 4 Juni? The hunger games dimulai?

Siapapun yg pitching ide ini &amp; acc, kayany…",psbb se-indonesia raya dicabut hunger games dimulai pitching ide amp accord kayany,in,0,0,the_radiodept,,,ObiWan_Catnobi,,
1265136599643205633,Tue May 26 04:24:05 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#MetroSiang Hari pertama efektif bekerja pasca lebaran, saat ini suasana di kantor BUMN tampak sepi. Sebagian besar pegawai di BUMN masih menerapkan sistem kerja dari rumah untuk menerapkan PSBB DKI Jakarta.
#IndonesiaMelawanCovid19 https://t.co/SOzNo2G83M https://t.co/JMMtIAR1f6",efektif pasca lebaran suasana kantor bumn sepi pegawai bumn menerapkan sistem kerja rumah menerapkan psbb dki jakarta,in,1,0,Metro_TV,False,"MetroSiang, IndonesiaMelawanCovid19",,"ÜT:-6.186977, 106.759125",
1265136591648907264,Tue May 26 04:24:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@e100ss Ga penting blaassss...... Psbb bodo amat ga ada ketegasan hasil nya adalah the best kenaikan nya....,ga blaassss ...... psbb bodo ga ketegasan hasil nya best kenaikan nya ....,in,0,0,LodehStark,,,e100ss,,
1265136585093394433,Tue May 26 04:24:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Update Virus Corona di Indonesia #COVID19 

Check here: https://t.co/hwIPiaoD3J https://t.co/2uiAlriTH3",update virus corona indonesia check here,in,0,34,SouthCityID,False,COVID19,,Cinere - Pondok Cabe,
1265136576801026048,Tue May 26 04:23:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JukiHoki: Warga kelas atas khususnya para pengusaha pengen mall buka, bisnis jalan lagi, jadi dukung relaksasi PSBB.
Warga kelas bawah…",warga kelas pengusaha pengen mall buka bisnis jalan dukung relaksasi psbb warga kelas,in,0,34,psshellaa,,,JukiHoki,Indonesia,
1265136571042287618,Tue May 26 04:23:58 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @nafelton: Jadi gimana sih nasib corona di sini ini. Lockdown enggak, psbb gajelas, herd immunity bukan? Nyuruh stay home juga, ga stay…",sih nasib corona lockdown tidak psbb gajelas herd immunity bukan nyuruh stay home ga stay,in,0,39,ThyantyAjeng,,,nafelton,Indonesia,
1265136569515511811,Tue May 26 04:23:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CommuterLine: #RekanCommuters, Mulai Selasa 26 Mei 2020, KRL akan kembali melayani pengguna sesuai jam operasional selama masa PSBB ini…",mei krl melayani pengguna jam operasional psbb,in,0,12,ti_ung,,RekanCommuters,CommuterLine,Jakarta_indonesia,
1265136554021806080,Tue May 26 04:23:54 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NediSetiadi: Setahu saya @DKIJakarta udah siapin PSBB tahap 3 dan 4,.. kenapa tiba2 kebelet ama New Normal.

Sibuk buka Mall, emang ada…",setahu siapin psbb tahap .. tiba2 kebelet new normal sibuk buka mall,in,0,12,marSyaheedAS,,,"NediSetiadi, DKIJakarta",Bekasi-Lampung-Tasikmalaya,
