id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1266032275965087744,Thu May 28 15:43:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@oshsygfira lagi psbb,psbb,in,0,0,peachyxosh,,,oshsygfira,ˢᵉʰᵘⁿ ʰᵉᵃʳᵗ,
1266032268327280642,Thu May 28 15:43:09 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ndutxx Kalo psbb belom udahan gmna? Wkwk,psbb udahan gmna wkwk,in,0,0,pejumozarell4,,,ndutxx,Makasar - Jawa,
1266032246638575616,Thu May 28 15:43:03 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,788,Cir_Ricky,False,,Praz_Teguh,Jember,
1266032239600480256,Thu May 28 15:43:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@smdfess_ Psbb nya juga diperpanjang da,psbb nya diperpanjang da,in,0,0,Renataa_Tan,,,smdfess_,Sumedang-Bandung-Jatinangor ,
1266032234823213056,Thu May 28 15:43:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hp kuw kok agaknya ngikutin peraturan psbb ya kalo udah jam 7 keatas notif nya uda ditutup guis 😣,hp kuw ngikutin peraturan psbb jam keatas notif nya uda ditutup guis,in,0,0,gegelatooo,,,,,
1266032227709673472,Thu May 28 15:42:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Praz_Teguh: HUKUMAN UNTUK YANG LANGGAR PSBB https://t.co/5MCPXaDKro,hukuman langgar psbb,in,0,788,SingaArab,False,,Praz_Teguh,404 Not Found,
1266032189252046849,Thu May 28 15:42:50 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @geloraco: Mahasiswa Geram dengan Mendagri Tito yang Anggap Acara Makan-makan IPDN Tidak Langgar PSBB
https://t.co/52XiOlojMQ",mahasiswa geram mendagri tito anggap makan makan ipdn tidak langgar psbb,in,0,58,didienAZHAR,False,,geloraco,"Jakarta, Indonesia",
1266032186672599040,Thu May 28 15:42:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @andreasharsono: Sejumlah orang tua kuatir dgn wacana pemerintah buka kembali sekolah, khawatir anak terpapar #Covid19. Jumlah anak meni…",tua kuatir wacana pemerintah buka sekolah khawatir anak terpapar anak meni,in,0,212,eiffaakmal,,Covid19,andreasharsono,k.l malaysia,
1266032178695028737,Thu May 28 15:42:47 +0000 2020,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","RT @gesgestay: sekarang, mulai detik ini (cielah detik ini) setiap baca berita-berita yang memancing emosi soal covid19 gue bakal milih bua…",detik cielah detik baca berita berita memancing emosi covid milih bua,in,0,3,Mbims3,,,gesgestay,"Kota Tangerang, Banten",
1266032175100489728,Thu May 28 15:42:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ustadtengkuzul: Barang barang di Mall pada berjamur. Baru beberapa bulan PSBB dan rakyat awam menahan diri tidak ke Mall.
Bayangkan jik…",barang barang mall berjamur psbb rakyat awam menahan tidak mall bayangkan jik,in,0,0,hideist,,,ustadtengkuzul,,
1266032168590995456,Thu May 28 15:42:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@RTMCJatim Maksud saya itu berapa lama dispensasinya dari SIM yang habis masa berlakunya?
Misal masa berlaku SIM 17 MARET 2020 Apa bisa di perpanjang tahun depan atau nunggu setalah PSBB?",maksud dispensasinya sim habis berlakunya berlaku sim maret perpanjang nunggu setalah psbb,in,0,0,kh_mtdr,,,RTMCJatim,,
1266032130766761987,Thu May 28 15:42:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@clearlyhectic @istipar_lo @massacrepone @Asknonym Ditempat ku udah selesai psbb :""))))",ditempat ku selesai psbb,in,0,0,IoeyJen,,,"clearlyhectic, istipar_lo, massacrepone, Asknonym",we are one in your area,
1266032117298761729,Thu May 28 15:42:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YOGYA UDAH BEGINI TAPI EXTEND STATUS TANGGAP DARURAT SAMPE 30 JUNI.

JAKARTA WACANA BUKA PSBB 5 JUNI. HAHAHAHAHAHAHAGUYON. https://t.co/oxb9moCL8o",yogya extend status tanggap darurat jakarta wacana buka psbb hahahahahahahaguyon,in,0,0,zeazeejiggy,False,,,on the run,
1266032100299411462,Thu May 28 15:42:29 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kookieughh Gataauuu nunggu kebijakan psbb duluu,gataauuu nunggu kebijakan psbb duluu,in,0,0,AncillaElsa,,,kookieughh,𝓜𝓪𝓰𝓲𝓬 𝓼𝓱𝓸𝓹 🔮✨,
1266032099741495296,Thu May 28 15:42:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Lyonskylight Sabar woee lagi psbb wkwkw,sabar woee psbb wkwkw,in,0,0,parkchanbee6104,,,Lyonskylight,chanbaekist,
1266032078564425728,Thu May 28 15:42:23 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Asknonym ko bs jalan""? km pelanggar psbb apa begimana",ko jalan pelanggar psbb begimana,in,0,0,Theorigins3,,,Asknonym,,
